Study Program,Courses,Description
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Mechanics 3 ,mechanical virtual elastostatics unsymmetrical buckling columns
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Thermodynamics 1 ,engineering thermodynamics heat thermodynamics internal thermodynamics entropy gibbs helmholtz vapour refrigeration
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Thermodynamics 1 Lab,thermodynamics experiments lab
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Energy and Process Engineering,dieter bathen engineering diagramms refineries hydration cracking desulphurization separation technologies refineries destillation absorption extraction adsorption angelika heinzel technology energetic requirements refineries electricity steam heat efficienvy enregy gas steam turbine heat chp refineries stefan panglisch water global water water refinery water refining requirements water boiler water cooling water compounds refinery wastewater requirements wastewater cooling water filtration osmosis ion wastewater mechanical physical chemical biological
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Fluid Mechanics 1,fluid mechanics design machines ducts design calculation fluid fluid statics kinematics fluids streamtube incompressible fluids momentum angular momentum rheology fluids modeling viscous
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Manufacturing,production geometrically objects classification objects metals plastics ceramics wood divides manufacturing moulding forming separation joining coating manufacturing manufacturing manufacturing profitability products manufacturing technique production products innovative technologies protected recycling economy framework
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Materials Science 2,metals polymers engineering ceramics mechanical engineering engineering polymers ceramics
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Materials Science 2 Lab,complex experimental testing
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Numerics for Engineers,computer arithmetic algorithms error analysis numerical stability numerical interpolation approximation polynomial interpolation spline interpolation fourier approximation iterative solving linear vector matrix gauss sparse cholesky decomposition eigenvalue eigenvalues matrices eigenvectors matrices singular decomposition pseudoinverse matrices numerical solution nonlinear equations polynomials newton raphson secant numerical definite integrals differential equations ode equations solving stiff differential equations differential algebraic equations index dae
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Product Design,product design vdi precise systematic structuring morphological box design design design product design
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Product Design Homework,practical learning product emboss solution designing functional manufacturing restrictions solutions design solution parametric technical drawings manual
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Thermodynamics 2,thermodynamics idealized technical chemical thermodynamics heat availability exergy gas gases vapors humid air thermodynamics chemical reactions combustion chemical equilibrium heat
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Thermodynamics 2 Lab,thermodynamics experiments lab
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Design of Ships and Offshore Structures 1,techniques design design technical parameters parameters dimensioning auxiliary engines creation specifications
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Economics,economics innovation planning controlling calculation analysis calculations
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Hydrodynamics 1,resistance propulsion laws similarity simulations tools hydrodynamics
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Measurement Science and Technology,measurement science technology prerequisites machines plants experimental rsp verification theories measurement science technology signal signal signal measurents signals statistics distribution moments errors data analysis reduction linear nonlinear regression dynamics noise thermal shot telegraph noise analog signal filter amplifier digital signal converter sensors electrical measurements resistive sensors capacitive sensors magnetic sensors sensors labcourse gas curve calibration dynamics analog signal lock amplifier signals noise digital signal conditionin dynamic light scattering correlation distribution
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Project Management,project project project technical specification tools project project implementation project
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Safety of Ships and Offshore Structures,hydrostatics intact damage stability safety regulations
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Structural Design of Ships and Offshore Structures,nomenclature structural design offshore offshore design plates structural welding cutting techniques structural design
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,System Dynamics,technical dynamical dynamical loops design linear
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Control Technique MB,frequency laplace transformation loops frequency stability linear dynamical nyquist locus design
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Electrical Machines,electrical machines electrical technology engineer machines transformers dc machines synchronous machines machines generator plants grid machines electronics frequency converter asynchronous machines machines calculation machines differential equations networks phasor curves heyland ossana curve synchronous generator
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Marine Power Plants,movers auxiliary operate mover marine plants requirements propulsion diesel engines engine engine lng propulsion
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Offshore Engineering ,offshore exploration production technical loads regulations modes
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Production Technology,production technology optimization production technical quotation design production planning manufacturing production tool production technology simulation means tool technology analyzed
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Structural Analysis of Ships and Offshore Structures 1,structural analysis means analytical global analyse structural behaviour loads fatigue assessments buckling structural failure mechanisms stability structural
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,System Dynamics and Control Technique Lab,practical dynamics engineering spring maschinenbau
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Term Paper on Hydrodynamics and Design,conceptional design design hydrodynamics safety resistance prediction intact damage stability design tools empirical estimates drawings calculation hydrostatic curves
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Thermal Power Machines,thermodynamic thermo fluid dynamics machines engines turbo machines dimensional hydraulic thermal turbines pumps compressors piston engines pumps compressors internal combustion engines
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Thermal Power Machines Lab,lab measurement centrifugal pump throttle curve curve radial pump measurement curve lab similarity laws lab centrifugal compressor grid measurement curve measure diesel combustion engine cyl stroke lab internal combustion engines engine bosch testing
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Bachelor Thesis,scientific
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Bachelor Thesis Colloquium ,
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Interdisciplinary Studies,technical technical
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Internship,regulations
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Fundamentals of Computer Engineering 1,computer engineering design analysis hardware boolean algebra minimization coding arithmetic logic binary codes design digital circuits combinational sequential automata microprogramming boolean algebra coding digital circuits design complex microcomputer
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Fundamentals of Computer Engineering 1 Lab,lab computer design digital circuits simulation tools simulate analyze circuits combinatorial sequential digital circuits
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,General Chemistry,chemistry atomic periodic chemical chemical thermodynamics kinetics chemistry engineering structural functional
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Mathematics I1,calculus predicate calculus mathematical complex complex exponential logarithm exponential trigonometric hyperbolic techniques differentiation tangent derivatives derivatives antiderivatives antiderivatives definite integrals definite integrals techniques indefinite derivative derivative convexity concavity extrema centroids convergence taylor vector matrices determinats linear equations eigenvalues eigenvectors
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Mechanics I1,vector kinematics geometry motion dynamics motion kinematics dynamics particle motion
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Network Analysis,analysis linear electric networks frame linear laws electric networks analysis electric networks circuits complex network electrically transformations delta transformation transformation complex transformation complex quantities electric dc ac circuits network analysis magnetic circuits thermal circuits
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Non-technical Catalog BA 1,technical technical
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Design Theory 1,product design solving technical customer product machines subdued static dynamic shape stability mold tolerances bolt
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Fundamentals of Programming,programming technical scientific embedded solutions network communication algorithmic procedural implementation programming techniques modular programs practical algorithms design algorithm preprocessor compiler atomic data formatted arrays sorting pointers dynamic memory allocation memory dynamic data lists stacks queues
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Fundamentals of Programming Lab,practical characters calculating formulas implementing quizzes loops loop recursive calls formulas arrays vector matrix calculations vector matrix parameters pointers data arrays strings parameters dynamic memory storage handling stack queue
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Mathematics I2,mathematics multidimensional vector curves ir derivatives extrema vectorfields integrals integrals ode laplace fourier pde fourier
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Mechanics I2,continuation mechanics dynamics kinematics motion statics solutions elasticity
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Non-technical Catalog BA 2,technical technical
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Physics,vectors equation linear motion elastic inelastic collision oscillations waves oscillations waves acoustic waves sound intensity sound db scale optics geometrical optics prism lenses mirror snell light imaging relativistic
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Physics Lab,experiment physics thermodynamics optics atomic physics experiment experiment experiment measurement analysis error analysis
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Design Theory 2,breakable shaft hub mechanical design shape frictional breakable shaft hub shrink press welded joints welding metallic axles shafts hubs computation shaft geometry shaft deformations kinematics lubrication systematic lubricants lubrication designs roller computation capacity endurance rotary sealing
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Economics for Engineers,economics volumes production finance capital budgeting
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Materials Science 1,sciences science metals ceramics polymers correlation physical ductility corrosion resistance manufacturing weldability deformability cast irons steels heat treatments classification
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Materials Science 1 Lab,experimental testing
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Mathematics M3,integrals divergence operators integral gau solving differential equations linear differential equations periodic fourier solution differential equations
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Mechanics I3,elastostatics strains shearing strains strains strains torsion loading bernoulli beam laws vibration analysis mechanical mechanical oscillators linearization equations motion undamped linear vibrations oscillator linear vibrations vibrations excitation excitation analysis laws analysis hypotheses coefficients eccentric
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Thermodynamics 1,engineering thermodynamics heat thermodynamics internal thermodynamics entropy gibbs helmholtz vapour refrigeration
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Thermodynamics 1 Lab,practical experiments thermodynamics evaluate data scientific experimental errors experiments temperature measurements measurements vapor curves experiments theit thermodynamical scientific experimental thermodynamics
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Design Theory 3,technical springs cooperating vibration technical springs design spring technical wheel gears teeth laws kinematic static dynamic teeth interpretation technically gearbox failure clutch brakes braking rotating motion oil transmissions belt synchronous belt technical pipes piping hydraulic accumulators mechanical loads internal media interpretation crank gears kinetics dynamics crank presses shears designs crank crank knee levers shaft crank gears
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Fluid Mechanics,fluid mechanics design machines ducts design calculation fluid fluid statics kinematics fluids streamtube incompressible fluids momentum angular momentum rheology fluids modeling viscous
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Manufacturing,production geometrically objects classification objects metals plastics ceramics wood divides manufacturing moulding forming separation joining coating manufacturing manufacturing manufacturing profitability products manufacturing technique production products innovative technologies protected recycling economy framework
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Materials Science 2,metals polymers engineering ceramics mechanical engineering engineering polymers ceramics
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Materials Science 2 Lab,complex experimental testing
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Numerics for Engineers,computer arithmetic algorithms error analysis numerical stability numerical interpolation approximation polynomial interpolation spline interpolation fourier approximation iterative solving linear vector matrix gauss sparse cholesky decomposition eigenvalue eigenvalues matrices eigenvectors matrices singular decomposition pseudoinverse matrices numerical solution nonlinear equations polynomials newton raphson secant numerical definite integrals differential equations ode equations solving stiff differential equations differential algebraic equations index dae
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,System Dynamics,technical dynamical dynamical loops design linear
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Thermodynamics 2,thermodynamics heat entropy idealized technical availability exergy gas chemical maxwell clapeyron equation thermodynamics chemical reactions chemical equilibrium electrochemistry heat chemical reactors capillary statistical thermodynamics
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Thermodynamics 2 Lab,practical experiments thermodynamics evaluate data scientific experimental errors experiments moist air combustion experiments theit thermodynamical scientific experimental thermodynamics
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Vibration Analysis,vibrations linear vibrations eigenvalues eigenvectors beat phenomenon vibration absorbers vibrations structural gyroscopic modal analysis axial vibrations traversal vibrations strings bernoulli nonlinear
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,CAD,computer design product design efficient product lifecycle data techniques feature solidworks design drawings techniques configurations simulations kinematic
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Control Engineering,frequency laplace transformation loops frequency stability linear dynamical nyquist locus design
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Industrial Internship,implement
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Introduction to Mechatronics and Signal Analysis,mechatronics mechanincs mechanincal engineering electronics electrical engineering technology mechatronic design mechatronics technical dynamic mechatronic signal vibration analysis sensors actuators electromagnetic qualitymanagement mechatronics
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Process Engineering,dieter bathen engineering diagramms refineries hydration cracking desulphurization separation technologies refineries destillation absorption extraction adsorption stefan panglisch water water water refineries requirements water boiler water cooling water water refineries requirements water production water boiler water filtration osmosis ion exchanger water mechanical biological
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Scientific Working,scientific scientific scientific
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,System Dynamics and Control Technique Lab,practical dynamics engineering spring maschinenbau
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Bachelor Thesis (ISE),scientific engineering sciences autonomously scientific
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Bachelor-Thesis Colloquium,discussions
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Energy Technology,technology electrical heat heat heat regenerative descption technology complex methodology evalutate independant imparting complex technical ecologocal economical electricity heat heat combustion fossil flue gas cleaning nuclear plants regenerative economical
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Thermal Power Machines,thermodynamic thermo fluid dynamics machines engines turbo machines dimensional hydraulic thermal turbines pumps compressors piston engines pumps compressors internal combustion engines
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Fundamentals of Computer Engineering 1,computer engineering design analysis hardware boolean algebra minimization coding arithmetic logic binary codes design digital circuits combinational sequential automata microprogramming boolean algebra coding digital circuits design complex microcomputer
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Fundamentals of Computer Engineering 1 Lab,lab computer design digital circuits simulation tools simulate analyze circuits combinatorial sequential digital circuits
B.Sc. Mechanical Engineering  PO19 - B-ME-19,General Chemistry,chemistry atomic periodic chemical chemical thermodynamics kinetics chemistry engineering structural functional
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Mathematics I1,calculus predicate calculus mathematical complex complex exponential logarithm exponential trigonometric hyperbolic techniques differentiation tangent derivatives derivatives antiderivatives antiderivatives definite integrals definite integrals techniques indefinite derivative derivative convexity concavity extrema centroids convergence taylor vector matrices determinats linear equations eigenvalues eigenvectors
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Mechanics I1,vector kinematics geometry motion dynamics motion kinematics dynamics particle motion
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Network Analysis,analysis linear electric networks frame linear laws electric networks analysis electric networks circuits complex network electrically transformations delta transformation transformation complex transformation complex quantities electric dc ac circuits network analysis magnetic circuits thermal circuits
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Design Theory 1,product design solving technical customer product machines subdued static dynamic shape stability mold tolerances bolt
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Mathematics I2,mathematics multidimensional vector curves ir derivatives extrema vectorfields integrals integrals ode laplace fourier pde fourier
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Mechanics I2,continuation mechanics dynamics kinematics motion statics solutions elasticity
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Physics,vectors equation linear motion elastic inelastic collision oscillations waves oscillations waves acoustic waves sound intensity sound db scale optics geometrical optics prism lenses mirror snell light imaging relativistic
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Physics Lab,experiment physics thermodynamics optics atomic physics experiment experiment experiment measurement analysis error analysis
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Procedural Programming,techniques modular programs algorithms procedural implementation algorithmic implementations programming algorithms design algorithm algorithmic solution atomic data formatted data pointers dynamic memory allocation memory dynamic data lists stacks queues sorting preprocessor compiler lab implementing practical programming
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Design Theory 2,breakable shaft hub mechanical design shape frictional breakable shaft hub shrink press welded joints welding metallic axles shafts hubs computation shaft geometry shaft deformations kinematics lubrication systematic lubricants lubrication designs roller computation capacity endurance rotary sealing
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Economics for Engineers,economics volumes production finance capital budgeting
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Materials Science 1,sciences science metals ceramics polymers correlation physical ductility corrosion resistance manufacturing weldability deformability cast irons steels heat treatments classification
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Materials Science 1 Lab,experimental testing
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Mathematics M3,integrals divergence operators integral gau solving differential equations linear differential equations periodic fourier solution differential equations
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Mechanics I3,elastostatics strains shearing strains strains strains torsion loading bernoulli beam laws vibration analysis mechanical mechanical oscillators linearization equations motion undamped linear vibrations oscillator linear vibrations vibrations excitation excitation analysis laws analysis hypotheses coefficients eccentric
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Thermodynamics 1,engineering thermodynamics heat thermodynamics internal thermodynamics entropy gibbs helmholtz vapour refrigeration
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Thermodynamics 1 Lab,practical experiments thermodynamics evaluate data scientific experimental errors experiments temperature measurements measurements vapor curves experiments theit thermodynamical scientific experimental thermodynamics
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Design Theory 3,technical springs cooperating vibration technical springs design spring technical wheel gears teeth laws kinematic static dynamic teeth interpretation technically gearbox failure clutch brakes braking rotating motion oil transmissions belt synchronous belt technical pipes piping hydraulic accumulators mechanical loads internal media interpretation crank gears kinetics dynamics crank presses shears designs crank crank knee levers shaft crank gears
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Fluid Mechanics,fluid mechanics design machines ducts design calculation fluid fluid statics kinematics fluids streamtube incompressible fluids momentum angular momentum rheology fluids modeling viscous
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Manufacturing,production geometrically objects classification objects metals plastics ceramics wood divides manufacturing moulding forming separation joining coating manufacturing manufacturing manufacturing profitability products manufacturing technique production products innovative technologies protected recycling economy framework
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Materials Science 2,metals polymers engineering ceramics mechanical engineering engineering polymers ceramics
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Materials Science 2 Lab,complex experimental testing
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Numerics for Engineers,computer arithmetic algorithms error analysis numerical stability numerical interpolation approximation polynomial interpolation spline interpolation fourier approximation iterative solving linear vector matrix gauss sparse cholesky decomposition eigenvalue eigenvalues matrices eigenvectors matrices singular decomposition pseudoinverse matrices numerical solution nonlinear equations polynomials newton raphson secant numerical definite integrals differential equations ode equations solving stiff differential equations differential algebraic equations index dae
B.Sc. Mechanical Engineering  PO19 - B-ME-19,System Dynamics,technical dynamical dynamical loops design linear
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Thermodynamics 2,thermodynamics heat entropy idealized technical availability exergy gas chemical maxwell clapeyron equation thermodynamics chemical reactions chemical equilibrium electrochemistry heat chemical reactors capillary statistical thermodynamics
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Thermodynamics 2 Lab,practical experiments thermodynamics evaluate data scientific experimental errors experiments moist air combustion experiments theit thermodynamical scientific experimental thermodynamics
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Vibration Analysis,vibrations linear vibrations eigenvalues eigenvectors beat phenomenon vibration absorbers vibrations structural gyroscopic modal analysis axial vibrations traversal vibrations strings bernoulli nonlinear
B.Sc. Mechanical Engineering  PO19 - B-ME-19,CAD,computer design product design efficient product lifecycle data techniques feature solidworks design drawings techniques configurations simulations kinematic
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Control Engineering,frequency laplace transformation loops frequency stability linear dynamical nyquist locus design
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Industrial Internship,implement
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Introduction to Mechatronics and Signal Analysis,mechatronics mechanincs mechanincal engineering electronics electrical engineering technology mechatronic design mechatronics technical dynamic mechatronic signal vibration analysis sensors actuators electromagnetic qualitymanagement mechatronics
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Process Engineering,dieter bathen engineering diagramms refineries hydration cracking desulphurization separation technologies refineries destillation absorption extraction adsorption stefan panglisch water water water refineries requirements water boiler water cooling water water refineries requirements water production water boiler water filtration osmosis ion exchanger water mechanical biological
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Scientific Working,scientific scientific scientific
B.Sc. Mechanical Engineering  PO19 - B-ME-19,System Dynamics and Control Technique Lab,practical dynamics engineering spring maschinenbau
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Bachelor Thesis (ISE),scientific engineering sciences autonomously scientific
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Bachelor-Thesis Colloquium,discussions
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Energy Technology,technology electrical heat heat heat regenerative descption technology complex methodology evalutate independant imparting complex technical ecologocal economical electricity heat heat combustion fossil flue gas cleaning nuclear plants regenerative economical
B.Sc. Mechanical Engineering  PO19 - B-ME-19,Thermal Power Machines,thermodynamic thermo fluid dynamics machines engines turbo machines dimensional hydraulic thermal turbines pumps compressors piston engines pumps compressors internal combustion engines
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Chemistry,topicsoft periodic hydrogen chemical intermolecular equations stoichiometry kinetics energetics chemical reactions metals production corrosion chemical equilibrium acid equilibria electrochemical electrolysis galvanic cells polymers production functional optical electronic magnetic mechanical synthesis chemical
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Computer Aided Calculation Tools,scientific matlab tool numeric complicated engineering sciences pc workstations matlab engineering computers teams engineering mathematics theoretically experimentally error tolerance mathematical vectors matrices vector matrix relational logical operators branching loops matlab matlab graphics computing matlab computer engineering science
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Engineering Drawing,geometry projections technical drawings drawings manufacturing drawings machine
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Introduction to Mechanical Engineering,hands lab experiments mechanical engineering labs
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Mathematics 1 (for Engineers),differential calculus integral calculus complex infinite differential calculus integral calculus definite integrals integrals
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Mechanics 1 ,vector calculus cartesian coordinates coordinate transformation vectors wrench screw statics axioms statics equilibrium equilibrium equations spatial graphical solution equilibrium equilibrium statically cone angle rope wheel volume gravity pappus guldin statics statically internal dimensional draw sketches moments elastostatics continuum uniaxial modulus modulus poisson ratio modulus modulus poisson ratio uniaxial torsion beam bernoulli hypothesis polar moments inertia differential equation flex
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,CAD Lab,cadp parametric design practical shafts wheels gearbox technical drawing drawings lists libraries siemens
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Informatics,systematic programming engineering algorithmic procedural implementation matlab matlab tool engineering programming technique modular ipo architecture hardware software matlab operators algorithms strategy matlab toolboxes boolean algebra logical logical branching loops vectorisation visualisation graphics plots vectors polynoms matrices polynom vector matrix computing differential quotients trapezoidal codings overflow underflow machine epsilon data arrays strings cell arrays reading writing files image rgb colour memory consumption sorting gui programming
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Machine Elements 1,machine engineering iso tolerances calculation parameter static dynamic practical calculation axes shafts pivots designing calculation bolted calculation bolts screws shafts collars shaft collar shaft collar jointing shaft collar design calculation design calculation designing calculations machine tolerances parameter calculation calculation dimensioning bolted screws calculation diameter deflection axes shafts calculation dimensioning calculation
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Mathematics 2 (for Engineers),tools dimensional vector calculus linear equations matrices determinants derivatives techniques computation curvilinear integrals integrals probability vector calculus linear equations matrices determinants eigenvalues eigenvectors curves differential calculus taylor formula extrema integrals integrals parameters integrals probability
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Mechanics 2,kinematics cartesian curvilinear coordinates coordinates coordinates polar cylindrical spherical coordinates dimensional motion graphic hodograph tachograph curve kinematics motion instantaneous herpolhode polhode spatial motion spatial rotations euler kardan angles spatial motion velocity twist kinetics linear angular momentum newton euler laws kinetics angular momentum uniaxial rotations inertia radius inertia euler uniaxial rotations spatial rotations euler differentiation motions inertia dynamical euler equations motion newton euler laws kinetics linear motion equations
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Physics M,kinematics dynamics particle motion oscillations oscillations mechanical waves dimensional mechanical waves geometrical optics geometrical optics refraction lenses wave optics electricity c voltages electric magnetic bipolar solar cell fuel cell wave particle
